47.6588,0.8627246.8189,0.80203347.6184,0.055754647.6225,0.052327847.5865,0.057007247.6116,0.046538947.6262,0.049088347.5982,0.072258147.619,0.069893547.629,0.04914247.6917,0.095596647.6552,0.0491466
47.6588,0.87263646.8189,0.81212147.6184,0.048151747.6225,0.054944247.5997,0.057007247.6116,0.043953447.6262,0.046504747.5982,0.072258147.619,0.069893547.629,0.056901347.6917,0.090429247.6419,0.04656
47.6588,0.87263646.8321,0.80203347.6184,0.048151747.6225,0.06017747.5997,0.062189747.6116,0.049124447.6262,0.049088347.5982,0.069677447.619,0.064716247.629,0.054314947.6784,0.10076447.6419,0.0517333
47.6588,0.8627246.8321,0.80203347.6184,0.048151747.6225,0.065409847.5997,0.067372147.6116,0.054295447.6393,0.049088347.5982,0.067096847.619,0.077659447.629,0.059487747.6784,0.095596647.6552,0.0517333
47.6588,0.83297146.8321,0.80959947.6184,0.043083147.6093,0.065409847.5865,0.059598447.5983,0.049124447.613,0.051671947.5851,0.074838747.6058,0.077659447.6027,0.056901347.6519,0.10076447.6287,0.0594933
47.6588,0.84288746.8321,0.80959947.5657,0.043083147.5697,0.062793447.5337,0.05441647.5455,0.051709947.5604,0.054255547.5325,0.074838747.5399,0.077659447.5368,0.051728547.5989,0.098180347.5626,0.05432
47.6588,0.83297146.8189,0.80707747.4866,0.048151747.4905,0.057560647.4544,0.057007247.4529,0.051709947.4683,0.051671947.4405,0.064516147.4475,0.072482147.4314,0.04914247.4929,0.093012947.4569,0.0517333
47.6588,0.83297146.8321,0.81212147.368,0.043083147.3717,0.057560647.3355,0.057007247.3208,0.059466447.3368,0.054255547.3091,0.069677447.3157,0.075070847.2996,0.056901347.3471,0.093012947.3115,0.05432
47.672,0.81313846.8321,0.80707747.2098,0.053220347.2132,0.062793447.1771,0.057007247.1621,0.054295447.1658,0.059422747.1382,0.064516147.1442,0.069893547.1284,0.056901347.1748,0.090429247.1396,0.0517333
47.672,0.80322246.8321,0.80455546.9989,0.045617447.0152,0.062793446.9789,0.046642246.9639,0.049124446.9685,0.056839146.9278,0.064516146.9464,0.064716246.9176,0.051728546.9494,0.080094546.9281,0.0491466
47.672,0.79330546.8321,0.80707746.7617,0.043083146.7776,0.068026246.728,0.05441646.726,0.054295446.7186,0.051671946.6781,0.069677446.6959,0.056950246.6672,0.054314946.6976,0.074927146.6637,0.0517333
47.672,0.79330546.8321,0.81464346.4849,0.043083146.5003,0.065409846.4639,0.051824746.4484,0.051709946.4293,0.051671946.402,0.074838746.4058,0.056950246.3905,0.051728546.406,0.072343446.3729,0.0491466
47.672,0.78338946.8321,0.80959946.1818,0.038014546.1966,0.068026246.1469,0.046642246.1311,0.051709946.1136,0.049088346.0734,0.064516146.0893,0.059538946.0612,0.04914246.0878,0.06717646.0424,0.0491466
47.672,0.77347346.8321,0.80707745.8259,0.043083145.8402,0.065409845.7903,0.041459845.7742,0.049124445.7585,0.046504745.7054,0.059354845.72,0.056950245.7054,0.046555645.7167,0.06717645.6723,0.0517333
47.672,0.77347346.8321,0.79951145.4437,0.043083145.4573,0.057560645.4073,0.041459845.3777,0.049124445.3639,0.046504745.3241,0.056774245.3244,0.062127545.3102,0.046555645.319,0.06717645.2625,0.0517333
47.672,0.76355646.8321,0.80203345.022,0.048151745.0348,0.062793444.9846,0.041459844.9547,0.049124444.9299,0.046504744.8904,0.054193544.8892,0.062127544.8622,0.046555644.8816,0.06717644.8263,0.0517333
47.672,0.7536446.8321,0.79951144.5739,0.05068644.5727,0.057560644.5224,0.038868544.4921,0.043953444.4695,0.049088344.4303,0.054193544.4277,0.062127544.4011,0.04914244.4044,0.054257544.3504,0.0491466
47.672,0.74372446.8321,0.79446644.0862,0.053220344.0842,0.057560644.0205,0.041459843.9898,0.041367943.9697,0.043921143.9176,0.054193543.9266,0.064716243.9004,0.046555643.9008,0.056841243.848,0.0491466
47.672,0.74372446.8321,0.80959943.559,0.053220343.5429,0.049711543.4922,0.038868543.4611,0.043953443.4436,0.041337543.3918,0.054193543.3859,0.064716243.347,0.046555643.3706,0.049090143.2928,0.0439733
47.672,0.7536446.8321,0.80707743.0055,0.060823242.9883,0.049711542.911,0.033686142.8927,0.036196942.8649,0.041337542.8134,0.061935542.8056,0.049184342.7805,0.041382842.7873,0.049090142.7244,0.0439733
47.672,0.77347346.8321,0.80203342.4124,0.065891842.381,0.052327842.3167,0.036277342.2979,0.043953442.2862,0.033586742.2219,0.056774242.2122,0.046595742.1876,0.038796342.2041,0.046506542.1295,0.0388
47.672,0.77347346.8321,0.80959941.8193,0.070960441.8001,0.049711541.7224,0.038868541.7163,0.046538941.6943,0.041337541.6304,0.056774241.6188,0.04400741.6079,0.046555641.6076,0.043922841.5479,0.04656
47.672,0.76355646.8321,0.81212141.2394,0.063357541.206,0.057560641.1412,0.036277341.1215,0.056880941.1156,0.041337541.052,0.059354841.0386,0.046595741.0282,0.04914241.0377,0.049090140.9663,0.04656
47.672,0.7536446.8321,0.80959940.6595,0.063357540.625,0.057560640.5601,0.04405140.5399,0.054295440.5368,0.043921140.4736,0.054193540.4583,0.041418440.4484,0.041382840.4544,0.046506540.3846,0.0439733
47.672,0.7536446.8321,0.80959940.0796,0.05068640.0573,0.052327839.979,0.04405139.9583,0.054295439.9581,0.038753939.8952,0.056774239.8913,0.041418439.8555,0.041382839.8845,0.046506539.803,0.0439733
47.672,0.7536446.8321,0.80959939.5128,0.05068639.4764,0.057560639.4111,0.049233539.3899,0.054295439.3794,0.041337539.33,0.061935539.311,0.04400739.289,0.04914239.3145,0.046506539.2345,0.0439733
47.672,0.7536446.8321,0.80959938.9461,0.05068638.9087,0.054944238.8299,0.046642238.8083,0.046538938.827,0.038753938.7516,0.061935538.744,0.049184338.7225,0.056901338.7578,0.046506538.6661,0.0362133
47.672,0.7536446.8321,0.80455538.3794,0.055754638.341,0.062793438.262,0.04405138.2532,0.051709938.2614,0.038753938.1864,0.059354838.1769,0.046595738.1559,0.056901338.1878,0.046506538.0977,0.0362133
47.672,0.74372446.8321,0.80707737.8258,0.058288937.7732,0.062793437.6941,0.04405137.6848,0.051709937.6958,0.046504737.6343,0.061935537.6099,0.041418437.5894,0.056901337.6311,0.046506537.5557,0.0362133
47.672,0.7536446.8321,0.81716537.2591,0.055754637.2187,0.065409837.1526,0.046642237.1164,0.051709937.1434,0.046504737.0822,0.069677437.056,0.038829737.0228,0.054314937.0744,0.049090137.0005,0.0258667
47.672,0.74372446.8321,0.8222136.7056,0.053220336.6642,0.070642636.5979,0.046642236.5745,0.056880936.591,0.056839136.517,0.069677436.5022,0.031063836.4695,0.062074136.5177,0.043922836.4453,0.0284533
47.672,0.7536446.8321,0.82473236.152,0.053220336.1229,0.065409836.0432,0.046642236.0325,0.056880936.0386,0.062006335.9649,0.072258135.9615,0.031063835.9293,0.069833435.961,0.038755435.8901,0.03104
47.672,0.74372446.8321,0.82725435.6116,0.05068635.5684,0.068026235.4885,0.049233535.4774,0.054295435.4862,0.056839135.4259,0.067096835.4076,0.028475135.3891,0.072419835.4175,0.043922835.3481,0.0336267
47.672,0.74372446.8321,0.82977635.0581,0.05068635.0138,0.065409834.9469,0.049233534.9354,0.054295434.9469,0.062006334.8738,0.067096834.867,0.023297834.8357,0.069833434.8741,0.046506534.7929,0.0362133
47.672,0.74372446.8321,0.82725434.5177,0.055754634.4725,0.065409834.4186,0.049233534.3935,0.046538934.4076,0.067173534.3349,0.069677434.3263,0.025886534.2955,0.069833434.3306,0.043922834.2509,0.0439733
47.672,0.74372446.8321,0.82725433.9773,0.05068633.9444,0.06017733.8771,0.049233533.8647,0.046538933.8684,0.067173533.7959,0.061935533.7856,0.025886533.7685,0.069833433.8004,0.049090133.7089,0.0413866
47.672,0.7536446.8321,0.82977633.4502,0.048151733.4163,0.06017733.3488,0.049233533.3228,0.046538933.3291,0.064589933.257,0.056774233.2581,0.025886533.2283,0.06724733.2702,0.046506533.1669,0.0388
47.672,0.7536446.8321,0.82977632.9098,0.043083132.875,0.06017732.8205,0.046642232.7941,0.041367932.803,0.059422732.7312,0.061935532.7306,0.025886532.7013,0.059487732.74,0.046506532.6382,0.03104
47.672,0.7536446.8453,0.8348232.3826,0.048151732.3469,0.057560632.2922,0.046642232.2786,0.031025932.2769,0.054255532.2054,0.059354832.2031,0.025886532.1743,0.056901332.2098,0.043922832.1226,0.0336267
47.672,0.7536446.8453,0.82977631.8554,0.055754631.8188,0.057560631.7639,0.04405131.7631,0.025854931.7508,0.051671931.6796,0.064516131.6757,0.033652431.6473,0.051728531.6928,0.043922831.5939,0.0336267
47.672,0.7536446.8453,0.8348231.3414,0.055754631.3039,0.057560631.2489,0.049233531.2343,0.025854931.2247,0.056839131.1669,0.061935531.1614,0.036241131.1466,0.051728531.1759,0.054257531.0783,0.0413866
47.672,0.74372446.8453,0.83229830.8142,0.055754630.789,0.054944230.7206,0.046642230.7056,0.025854930.7117,0.054255530.6411,0.067096830.6471,0.036241130.6196,0.04914230.659,0.054257530.5628,0.04656
47.672,0.7536446.8453,0.83734230.3002,0.058288930.274,0.052327830.2187,0.051824730.2033,0.025854930.1988,0.062006330.1285,0.067096830.1327,0.028475130.1058,0.041382830.142,0.054257530.0472,0.04656
47.672,0.74372446.8453,0.83229829.7862,0.058288929.7591,0.047095129.7168,0.051824729.6878,0.023269429.6858,0.062006329.629,0.067096829.6184,0.031063829.5919,0.043969229.6383,0.054257529.5317,0.0439733
47.672,0.7536446.8321,0.82473229.2854,0.058288929.2574,0.044478729.2149,0.051824729.1723,0.025854929.186,0.054255529.1163,0.061935529.1173,0.031063829.0781,0.043969229.1214,0.051673829.0293,0.0491466
47.672,0.74372446.8321,0.81464328.7845,0.058288928.7557,0.044478728.713,0.046642228.67,0.025854928.6862,0.056839128.6168,0.054193528.6162,0.033652428.5774,0.046555628.6177,0.046506528.527,0.0569066
47.672,0.7536446.8321,0.81212128.2837,0.058288928.254,0.041862328.2111,0.049233528.181,0.018098528.1864,0.049088328.1173,0.056774228.1151,0.036241128.0768,0.038796328.114,0.051673828.0247,0.06208
47.672,0.74372446.8453,0.80455527.7697,0.055754627.7655,0.044478727.7093,0.049233527.6787,0.018098527.6866,0.046504727.6178,0.056774227.614,0.04400727.5893,0.038796327.6103,0.049090127.5356,0.0569066
47.672,0.74372446.8453,0.80959927.282,0.055754627.277,0.044478727.2206,0.049233527.1896,0.023269427.1868,0.046504727.1314,0.056774227.1261,0.04400727.1018,0.031037127.1199,0.046506527.0465,0.0594933
47.672,0.7536446.8453,0.79698826.7944,0.053220326.7885,0.041862326.7319,0.049233526.7005,0.023269426.7001,0.043921126.645,0.059354826.6381,0.04400726.6011,0.036209926.6294,0.046506526.5573,0.06208
47.672,0.7536446.8453,0.78437826.2936,0.048151726.3,0.044478726.2432,0.04405126.2115,0.023269426.2003,0.038753926.1587,0.067096826.1502,0.05177326.1268,0.043969226.139,0.043922826.0815,0.05432
47.672,0.74372446.8453,0.786925.8191,0.048151725.8115,0.044478725.7546,0.046642225.7224,0.023269425.7268,0.046504725.6723,0.077419325.6623,0.05177325.6393,0.046555625.6485,0.046506525.5923,0.05432
47.672,0.72389146.8453,0.786925.3314,0.05068625.323,0.039245925.2659,0.046642225.2466,0.018098525.2533,0.046504725.1991,0.0825.1876,0.056950225.165,0.046555625.1714,0.051673825.1165,0.05432
47.672,0.70405946.8453,0.77933424.857,0.048151724.8477,0.044478724.7904,0.049233524.7707,0.020683924.7667,0.051671924.7127,0.0824.7128,0.059538924.6775,0.04914224.6942,0.051673824.6273,0.0569066
47.672,0.72389146.8453,0.77681224.3825,0.048151724.3724,0.041862324.3149,0.046642224.2949,0.020683924.2932,0.056839124.2395,0.0824.2249,0.056950224.2032,0.051728524.217,0.051673824.1514,0.05432
